id,author_id,parent_id,step,week_number,step_number,timestamp,likes
8752101,632c8e95-2b55-4ee3-b0c8-6946a209e0f3,,1.1,1,1,2015-11-09 11:02:13 UTC,0
8752111,da99df2c-0d40-46ee-bc24-4da06fd86add,8750814,1.6,1,6,2015-11-09 11:02:31 UTC,5
8752130,3a2e0ea8-a57b-4435-9aac-3f6e6213fda9,,1.1,1,1,2015-11-09 11:02:58 UTC,1
8752193,824f7510-d55e-41a1-b0d1-19353a1ebe41,,1.2,1,2,2015-11-09 11:04:39 UTC,2
8752244,c0482f6a-0efe-4f02-b87f-4d814b023125,,1.3,1,3,2015-11-09 11:06:16 UTC,0
8752316,5a854e97-c9a6-4caa-9475-c4771e913043,8744094,1.4,1,4,2015-11-09 11:08:16 UTC,2
8752584,a95deed7-0898-45cf-bfb5-cf0038b436d1,,1.2,1,2,2015-11-09 11:17:30 UTC,1
8752641,0e7f82f5-a4c1-4ade-ac75-620f258f1e1f,8750127,1.4,1,4,2015-11-09 11:19:30 UTC,2
8752643,392fd320-2f60-4a9f-ae0a-1cc69f0eac71,,1.2,1,2,2015-11-09 11:19:35 UTC,4
8752652,824f7510-d55e-41a1-b0d1-19353a1ebe41,,1.3,1,3,2015-11-09 11:19:48 UTC,4
8752722,538bf27f-746d-4fd9-9261-68ea0ce7f0f2,8751368,1.3,1,3,2015-11-09 11:21:49 UTC,2
8752728,28562a00-e7c9-410e-93f2-279e0b748a0f,,1.4,1,4,2015-11-09 11:22:05 UTC,5
8752735,e9249d1c-e10c-481e-bf7e-30b2b38d2c4b,8749100,1.2,1,2,2015-11-09 11:22:22 UTC,3
8752861,a95deed7-0898-45cf-bfb5-cf0038b436d1,,1.3,1,3,2015-11-09 11:26:23 UTC,3
8752875,62beef46-f883-49cb-8f20-865fc1a1a34e,,1.1,1,1,2015-11-09 11:26:54 UTC,2
8752922,28562a00-e7c9-410e-93f2-279e0b748a0f,8744094,1.4,1,4,2015-11-09 11:28:23 UTC,2
8752941,e9249d1c-e10c-481e-bf7e-30b2b38d2c4b,8748279,1.2,1,2,2015-11-09 11:29:04 UTC,1
8752960,bf597970-a2b9-47bd-bcab-75f917991227,,1.9,1,9,2015-11-09 11:29:34 UTC,0
8752963,a4edcd40-745a-4db7-8464-18191fc79564,,1.2,1,2,2015-11-09 11:29:41 UTC,3
8752965,538bf27f-746d-4fd9-9261-68ea0ce7f0f2,8751425,1.4,1,4,2015-11-09 11:29:43 UTC,1
8752987,c0482f6a-0efe-4f02-b87f-4d814b023125,,1.5,1,5,2015-11-09 11:30:17 UTC,0
8753036,4f854c82-4eff-458f-afa3-93795b3cfe20,8750814,1.6,1,6,2015-11-09 11:32:13 UTC,3
8753041,fb7632f5-80b4-42bb-a6ff-d47be951b48f,8750341,1.4,1,4,2015-11-09 11:32:23 UTC,9
8753095,85020880-743b-433a-a550-3993cdaf9e81,,1.2,1,2,2015-11-09 11:33:56 UTC,2
8753149,bf597970-a2b9-47bd-bcab-75f917991227,,1.1,1,10,2015-11-09 11:36:19 UTC,10
8753157,190e7e78-3754-4b1d-9bfc-177ebb8baa9a,,1.7,1,7,2015-11-09 11:36:36 UTC,1
8753194,41284916-2f8c-4b02-bb13-bed7347f5b6c,8749381,1.7,1,7,2015-11-09 11:37:56 UTC,0
8753203,392fd320-2f60-4a9f-ae0a-1cc69f0eac71,8751368,1.3,1,3,2015-11-09 11:38:15 UTC,0
8753206,824f7510-d55e-41a1-b0d1-19353a1ebe41,,1.4,1,4,2015-11-09 11:38:26 UTC,0
8753261,c64ae4e7-defd-4081-895f-aa07b792947e,,1.1,1,1,2015-11-09 11:39:52 UTC,0
8753284,ed617063-5827-4344-afdf-0a1286d849c9,,1.6,1,6,2015-11-09 11:40:57 UTC,1
8753323,85f1a730-d05b-412c-83f2-b68530bbc419,,1.2,1,2,2015-11-09 11:42:06 UTC,0
8753394,bf597970-a2b9-47bd-bcab-75f917991227,,1.11,1,11,2015-11-09 11:43:39 UTC,2
8753399,f09c107f-95bc-4f03-a68f-690310a1a9e0,,1.4,1,4,2015-11-09 11:43:54 UTC,4
8753441,d575eecd-9119-4d1a-abe2-edc24cc5082a,,1.2,1,2,2015-11-09 11:44:51 UTC,0
8753540,190e7e78-3754-4b1d-9bfc-177ebb8baa9a,,1.7,1,7,2015-11-09 11:48:05 UTC,22
8753570,28562a00-e7c9-410e-93f2-279e0b748a0f,,1.5,1,5,2015-11-09 11:49:02 UTC,3
8753600,a95deed7-0898-45cf-bfb5-cf0038b436d1,,1.4,1,4,2015-11-09 11:49:50 UTC,3
8753642,bf597970-a2b9-47bd-bcab-75f917991227,,1.12,1,12,2015-11-09 11:51:05 UTC,0
8753695,a4edcd40-745a-4db7-8464-18191fc79564,,1.3,1,3,2015-11-09 11:52:38 UTC,12
8753711,392fd320-2f60-4a9f-ae0a-1cc69f0eac71,8753206,1.4,1,4,2015-11-09 11:52:59 UTC,1
8753754,143e3b52-da2d-4e17-8417-cd8f8a7b041a,8751696,1.4,1,4,2015-11-09 11:54:32 UTC,0
8753776,392fd320-2f60-4a9f-ae0a-1cc69f0eac71,8753399,1.4,1,4,2015-11-09 11:55:13 UTC,1
8754017,824f7510-d55e-41a1-b0d1-19353a1ebe41,,1.5,1,5,2015-11-09 12:03:22 UTC,4
8754028,bf597970-a2b9-47bd-bcab-75f917991227,,1.14,1,14,2015-11-09 12:03:42 UTC,0
8754036,d8a56aa1-a698-43f0-bafa-2af032765017,,1.1,1,1,2015-11-09 12:04:00 UTC,0
8754094,824f7510-d55e-41a1-b0d1-19353a1ebe41,8753206,1.4,1,4,2015-11-09 12:06:13 UTC,1
8754163,2fa8347e-013d-4ff2-9622-15ca03ef8028,8749201,1.3,1,3,2015-11-09 12:08:30 UTC,0
8754230,392fd320-2f60-4a9f-ae0a-1cc69f0eac71,,1.5,1,5,2015-11-09 12:11:36 UTC,1
8754242,f1e89a4c-36fa-4f32-9de0-726bda152a84,,1.2,1,2,2015-11-09 12:11:54 UTC,1
8754289,a4edcd40-745a-4db7-8464-18191fc79564,,1.4,1,4,2015-11-09 12:13:59 UTC,7
8754400,a95deed7-0898-45cf-bfb5-cf0038b436d1,,1.5,1,5,2015-11-09 12:17:55 UTC,1
8754405,a4edcd40-745a-4db7-8464-18191fc79564,8752728,1.4,1,4,2015-11-09 12:18:08 UTC,7
8754445,f1e89a4c-36fa-4f32-9de0-726bda152a84,8749936,1.2,1,2,2015-11-09 12:19:49 UTC,4
8754501,b454e7b3-3ee6-4834-808b-2bafc6540caf,,1.2,1,2,2015-11-09 12:21:24 UTC,0
